# 白银相关行（来源: 今年以来账单报表0301.pdf）
# 共 895 行（总行数 4997）

p1	期初总览 12,753.09 438,321.72 -23,475.00 1,325.83 71,178.98 0.00 -47.91 0.00 625,056.71
p10	(SLV 20260618 CALL 67.0)US ARCA 开仓 4 10.85000 4,340.00期权监管费: -0.04
p10	白银ETF-iShares
p10	(SLV 20260618 CALL 67.0)US ARCA 平仓 -1 12.75000 -1,275.00期权监管费: -0.01
p11	白银ETF-iShares
p11	(SLV 20260306 CALL 88.0)US ARCA 开仓做空 -2 2.36000 -472.00期权监管费: -0.02
p11	期权交收费: -0.360.002026-02-06
p11	白银ETF-iShares
p11	(SLV 20260220 CALL 105.0)US ARCA 平仓 2 0.43000 86.00期权监管费: -0.02
p11	白银ETF-iShares
p11	(SLV 20260306 PUT 60.0)US ARCA 开仓做空 -3 2.80000 -840.00期权监管费: -0.04
p11	白银ETF-iShares
p11	(SLV 20260306 PUT 65.0)US ARCA 开仓 3 4.69000 1,407.00期权监管费: -0.04
p11	白银ETF-iShares
p11	(SLV 20260618 CALL 120.0)US ARCA 平仓 5 3.70000 1,850.00期权监管费: -0.06
p11	白银ETF-iShares
p11	(SLV 20260306 PUT 60.0)US ARCA 开仓做空 -1 2.66000 -266.00期权监管费: -0.01
p11	白银ETF-iShares
p11	(SLV 20260306 PUT 65.0)US ARCA 开仓 1 4.44000 444.00期权监管费: -0.01
p11	白银ETF-iShares
p11	(SLV 20260306 PUT 60.0)US ARCA 平仓 4 0.74000 296.00期权监管费: -0.05
p11	白银ETF-iShares
p11	(SLV 20260220 CALL 90.0)US ARCA 平仓 2 0.49000 98.00期权监管费: -0.02
p11	白银ETF-iShares
p11	(SLV 20260313 CALL 71.0)US ARCA 开仓做空 -1 5.00000 -500.00期权监管费: -0.01
p12	白银ETF-iShares
p12	(SLV 20260320 CALL 76.0)US ARCA 开仓做空 -5 3.60000 -1,800.00期权监管费: -0.06
p12	白银ETF-iShares
p12	(SLV 20260313 CALL 71.0)US ARCA 平仓 1 4.90000 490.00期权监管费: -0.01
p12	白银ETF-iShares
p12	(SLV 20260313 CALL 72.5)US ARCA 开仓做空 -1 4.24000 -424.00期权监管费: -0.01
p12	白银ETF-iShares
p12	(SLV 20260320 CALL 70.0)US ARCA 开仓做空 -4 8.80000 -3,520.00期权监管费: -0.05
p12	白银ETF-iShares
p12	(SLV 20260320 CALL 70.0)US ARCA 开仓做空 -1 8.80000 -880.00期权监管费: -0.01
p12	白银ETF-iShares
p12	(SLV 20260618 CALL 67.0)US ARCA 平仓 -5 18.00000 -9,000.00期权监管费: -0.06
p12	期权交收费: -0.903,546.282026-02-26
p12	10:33:44, US/Eastern2026-02-27 USD
p12	合计 SLV -9 -13,551.00 -119.45 15,403.22 USD
p12	(TEM 20260313 CALL 60.0)US NASDAQ 开仓做空 -3 3.55000 -1,065.00期权监管费: -0.04
p13	(TER 20260130 CALL 235.0)US NASDAQ 开仓做空 -1 8.70000 -870.00 平台费: -1.00
p13	(TER 20260130 CALL 235.0)US NASDAQ 开仓做空 -1 11.00000 -1,100.00期权监管费: -0.01
p13	期权交收费: -0.18372.572026-02-03
p14	(TER 20260227 CALL 250.0)US NASDAQ 平仓 1 65.03000 6,503.00期权监管费: -0.01
p15	(TSLA 20260123 CALL 450.0)US NASDAQ 平仓 1 0.70000 70.00期权监管费: -0.01
p15	期权交收费: -0.360.002026-01-23
p15	(TSLA 20260213 CALL 395.0)US NASDAQ 平仓 5 31.78000 15,890.00期权监管费: -0.05
p15	(TSLA 20260227 CALL 385.0)US NASDAQ 开仓做空 -5 43.75000 -21,875.00期权监管费: -0.05
p16	(TSLA 20260306 PUT 365.0)US NASDAQ 开仓做空 -4 3.52000 -1,408.00 交易活动费: -0.02
p16	(TSLA 20260306 PUT 365.0)US NASDAQ 开仓做空 -2 6.05000 -1,210.00期权监管费: -0.02
p16	期权交收费: -0.360.002026-02-04
p16	期权交收费: -0.360.002026-02-04
p16	(TSLA 20260313 CALL 370.0)US NASDAQ 开仓做空 -4 48.08000 -19,232.00期权监管费: -0.05
p16	(TSLA 20260313 CALL 370.0)US NASDAQ 开仓做空 -1 41.67000 -4,167.00期权监管费: -0.01
p16	(TSLA 20260313 CALL 370.0)US NASDAQ 平仓 3 41.93667 12,581.00期权监管费: -0.03
p17	(TSLA 20260306 PUT 385.0)US NASDAQ 平仓 -2 13.94000 -2,788.00 交易活动费: -0.01
p17	(TSLA 20260306 PUT 365.0)US NASDAQ 平仓 2 7.92000 1,584.00期权监管费: -0.02
p17	(TSLA 20260313 CALL 370.0)US NASDAQ 开仓做空 -1 46.16000 -4,616.00期权监管费: -0.01
p17	(TSLA 20260306 PUT 365.0)US NASDAQ 平仓 4 5.82000 2,328.00期权监管费: -0.05
p17	合计 TSLA 3 -24,660.00 -136.48 42,971.20 USD
p17	(WGS 20260306 CALL 75.0)US NASDAQ 开仓做空 -1 16.75000 -1,675.00期权监管费: -0.01
p17	合计 WGS -1 -1,675.00 -3.22 0.00 USD
p17	合计 -31,671.00 -447.27 61,060.11 USD
p18	(HK0000720752.USD)HK 卖出 -500 119.12720 -59,563.60 0.00 39.162026-02-12
p19	(CN2601)SG SGX 平仓 -4 15,422.0000 -61,688.00 43.28交易所费用: -4.40
p19	(CN2601)SG SGX 开仓 3 15,590.0000 46,770.00 0.00交易所费用: -3.30
p20	(CN2601)SG SGX 平仓 -5 15,170.0000 -75,850.00 453.10交易所费用: -5.50
p20	(CN2601)SG SGX 平仓 -2 15,035.0000 -30,070.00 25.64交易所费用: -2.20
p20	(CN2601)SG SGX 平仓 -2 14,980.0000 -29,960.00 139.64交易所费用: -2.20
p21	(CN2602)SG SGX 开仓 2 14,830.0000 29,660.00 0.00交易所费用: -2.20
p21	(CN2602)SG SGX 开仓 2 14,688.0000 29,376.00 0.00交易所费用: -2.20
p21	(CN2602)SG SGX 平仓 -2 14,738.0000 -29,476.00 87.64交易所费用: -2.20
p22	(CN2603)SG SGX 平仓 -2 14,876.0000 -29,752.00 127.64交易所费用: -2.20
p22	(CN2603)SG SGX 平仓 1 14,875.0000 14,875.00 46.82交易所费用: -1.10
p22	平台费: -1.002026-02-26
p22	11:28:04, GMT+82026-02-26 USD
p22	平台费: -1.002026-02-26
p22	11:43:00, GMT+82026-02-26 USD
p22	平台费: -1.002026-02-26
p22	13:05:32, GMT+82026-02-26 USD
p23	21:55:14, US/Eastern2026-02-26 USD
p23	21:56:52, US/Eastern2026-02-26 USD
p23	22:15:14, US/Eastern2026-02-26 USD
p23	22:16:52, US/Eastern2026-02-26 USD
p23	(MGC2604)US COMEX 开仓 1 5,206.0000 52,060.00 0.00交易所费用: -0.60
p23	平台费: -1.002026-02-26
p23	02:18:14, US/Eastern2026-02-26 USD
p23	平台费: -1.002026-02-26
p23	02:21:26, US/Eastern2026-02-26 USD
p24	平台费: -1.002026-02-26
p24	14:04:50, US/Eastern2026-02-26 USD
p24	(MNQ2603)US CME 开仓 4 25,320.8750 202,567.00 0.00交易所费用: -1.40
p24	(MNQ2603)US CME 平仓 -6 25,399.0000 -304,788.00 -95.44交易所费用: -2.10
p24	(MNQ2603)US CME 平仓 -2 25,419.2500 -101,677.00 387.52交易所费用: -0.70
p24	(MNQ2603)US CME 平仓 -4 25,819.2500 -206,554.00 31.04交易所费用: -1.40
p24	(MNQ2603)US CME 开仓 4 25,811.0000 206,488.00 0.00交易所费用: -1.40
p24	(MNQ2603)US CME 开仓 1 25,750.0000 51,500.00 0.00交易所费用: -0.35
p24	(MNQ2603)US CME 平仓 -3 25,815.0000 -154,890.00 165.78交易所费用: -1.05
p25	(MNQ2603) US CME 平仓 -1 25,843.2500 -51,686.50 183.76 平台费: -1.00 09:44:04, US/Eastern 2026-01-07 USD
p25	(MNQ2603)US CME 开仓 1 25,035.5000 50,071.00 0.00交易所费用: -0.35
p25	微白银2603
p25	(SIL2603)US COMEX 开仓 1 75.2100 75,210.00 0.00交易所费用: -1.00
p25	微白银2603
p25	(SIL2603)US COMEX 开仓 1 75.1650 75,165.00 0.00交易所费用: -1.00
p25	微白银2603
p25	(SIL2603)US COMEX 平仓 -2 75.2200 -150,440.00 52.96交易所费用: -2.00
p25	微白银2603
p25	(SIL2603)US COMEX 开仓 2 75.1550 150,310.00 0.00交易所费用: -2.00
p25	微白银2603
p25	(SIL2603)US COMEX 平仓 -2 75.2100 -150,420.00 97.96交易所费用: -2.00
p25	微白银2603
p25	(SIL2603)US COMEX 开仓 2 75.1550 150,310.00 0.00交易所费用: -2.00
p25	微白银2603
p25	(SIL2603)US COMEX 平仓 -2 75.2500 -150,500.00 177.96交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 75.1400 150,280.00 0.00 期货监管费: -0.04
p26	微白银2603
p26	(SIL2603)US COMEX 平仓 -2 75.2350 -150,470.00 177.96交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 75.1400 150,280.00 0.00交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 平仓 -2 75.5000 -151,000.00 707.96交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 74.2600 148,520.00 0.00交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 平仓 -2 74.6500 -149,300.00 767.96交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 1 78.6150 78,615.00 0.00交易所费用: -1.00
p26	微白银2603
p26	(SIL2603)US COMEX 平仓 -1 78.7400 -78,740.00 118.98交易所费用: -1.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 78.5775 157,155.00 0.00交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 平仓 -2 77.8700 -155,740.00 -1,427.04交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 78.0600 156,120.00 0.00交易所费用: -2.00
p26	微白银2603
p26	(SIL2603)US COMEX 开仓 2 77.7050 155,410.00 0.00交易所费用: -2.00
p27	微白银2603
p27	(SIL2603)US COMEX 平仓 -2 78.3550 -156,710.00 577.96 平台费: -2.00 2026-01-06
p27	微白银2603
p27	(SIL2603)US COMEX 平仓 -2 78.8000 -157,600.00 2,177.96交易所费用: -2.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 2 79.8600 159,720.00 0.00交易所费用: -2.00
p27	微白银2603
p27	(SIL2603)US COMEX 平仓 -2 79.9000 -159,800.00 67.96交易所费用: -2.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 78.9900 78,990.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 78.8300 78,830.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 平仓 -2 79.1675 -158,335.00 502.96交易所费用: -2.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 77.9600 77,960.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 77.3000 77,300.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 77.0200 77,020.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 76.6850 76,685.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 开仓 1 76.1150 76,115.00 0.00交易所费用: -1.00
p27	微白银2603
p27	(SIL2603)US COMEX 平仓 -2 77.2650 -154,530.00 -742.04交易所费用: -2.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -1 77.3600 -77,360.00 333.98交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -1 77.6600 -77,660.00 968.98交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -1 78.3600 -78,360.00 2,238.98交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 77.0100 77,010.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 76.2500 76,250.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 75.5700 75,570.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 74.9750 74,975.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -1 75.3950 -75,395.00 -1,621.02交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 74.7900 74,790.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 开仓 1 73.8350 73,835.00 0.00交易所费用: -1.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -2 75.5600 -151,120.00 -712.04交易所费用: -2.00
p28	微白银2603
p28	(SIL2603)US COMEX 平仓 -1 75.6800 -75,680.00 698.98交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 76.5000 -76,500.00 1,703.98 佣金: -0.99
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 76.4100 -76,410.00 2,568.98交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 76.1150 76,115.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 76.3000 -76,300.00 178.98交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 77.6050 77,605.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 77.7050 -77,705.00 93.98交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 77.5650 77,565.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 77.4800 -77,480.00 -91.02交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 77.6600 77,660.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 77.7100 -77,710.00 43.98交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 77.4900 77,490.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 开仓 1 77.3550 77,355.00 0.00交易所费用: -1.00
p29	微白银2603
p29	(SIL2603)US COMEX 平仓 -1 77.6100 -77,610.00 113.98交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -1 77.7900 -77,790.00 428.98交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 84.1250 84,125.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 83.8900 83,890.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -1 84.2200 -84,220.00 88.98交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -1 84.4000 -84,400.00 503.98交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 83.8200 83,820.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 84.0300 84,030.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 83.5550 83,555.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -2 84.2200 -168,440.00 577.96交易所费用: -2.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -1 84.0850 -84,085.00 523.98交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 开仓 1 84.0150 84,015.00 0.00交易所费用: -1.00
p30	微白银2603
p30	(SIL2603)US COMEX 平仓 -1 84.2450 -84,245.00 223.98交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 83.9900 83,990.00 0.00 佣金: -0.99
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 84.3300 -84,330.00 333.98交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 84.9400 84,940.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 84.5500 84,550.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 84.9000 -84,900.00 -46.02交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 84.7000 -84,700.00 143.98交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 88.0200 88,020.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 88.1650 -88,165.00 138.98交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 87.9600 87,960.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 88.0900 -88,090.00 123.98交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 87.4200 87,420.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 开仓 1 86.9750 86,975.00 0.00交易所费用: -1.00
p31	微白银2603
p31	(SIL2603)US COMEX 平仓 -1 87.0800 -87,080.00 -346.02交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 86.8600 86,860.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 86.6250 86,625.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 平仓 -2 87.4750 -174,950.00 1,102.96交易所费用: -2.00
p32	微白银2603
p32	(SIL2603)US COMEX 平仓 -1 89.2000 -89,200.00 2,568.98交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 91.0200 91,020.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 平仓 -1 91.1350 -91,135.00 108.98交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 91.2000 91,200.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 平仓 -1 91.2300 -91,230.00 23.98交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 90.8850 90,885.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 平仓 -1 91.0550 -91,055.00 163.98交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 90.3600 90,360.00 0.00交易所费用: -1.00
p32	微白银2603
p32	(SIL2603)US COMEX 开仓 1 89.2850 89,285.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 88.6000 88,600.00 0.00 佣金: -0.99
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 88.3100 88,310.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 88.5050 -88,505.00 -1,861.02交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 88.3000 88,300.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 88.4500 -88,450.00 -841.02交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 87.9000 87,900.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 88.2700 -88,270.00 -336.02交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 89.6000 -89,600.00 1,283.98交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 88.1500 88,150.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 87.2000 87,200.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 开仓 1 86.3850 86,385.00 0.00交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 87.2000 -87,200.00 -1,106.02交易所费用: -1.00
p33	微白银2603
p33	(SIL2603)US COMEX 平仓 -1 87.6000 -87,600.00 -306.02交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 87.0500 87,050.00 0.00交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 87.6000 -87,600.00 -556.02交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 88.2300 -88,230.00 1,023.98交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 88.6000 -88,600.00 2,208.98交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 89.5500 -89,550.00 2,493.98交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 90.1000 90,100.00 0.00交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 90.2300 -90,230.00 123.98交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 88.8000 88,800.00 0.00交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 88.1600 88,160.00 0.00交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 87.6000 87,600.00 0.00交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 平仓 -1 87.7700 -87,770.00 -1,036.02交易所费用: -1.00
p34	微白银2603
p34	(SIL2603)US COMEX 开仓 1 87.5000 87,500.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 87.7500 -87,750.00 -416.02 佣金: -0.99
p35	微白银2603
p35	(SIL2603)US COMEX 开仓 1 87.5000 87,500.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 88.6600 -88,660.00 1,053.98交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 开仓 1 87.5050 87,505.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 开仓 1 86.8500 86,850.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 87.1200 -87,120.00 -386.02交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 88.6300 -88,630.00 1,123.98交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 88.5350 -88,535.00 1,023.98交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 88.5500 -88,550.00 1,693.98交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 开仓 1 90.2000 90,200.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 90.5000 -90,500.00 293.98交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 开仓 1 91.3000 91,300.00 0.00交易所费用: -1.00
p35	微白银2603
p35	(SIL2603)US COMEX 平仓 -1 91.5000 -91,500.00 193.98交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 91.0500 91,050.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 平仓 -1 91.2000 -91,200.00 143.98交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 90.7600 90,760.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 90.7500 90,750.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 平仓 -1 91.0500 -91,050.00 283.98交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 平仓 -1 91.0550 -91,055.00 298.98交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 98.5600 98,560.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 平仓 -1 98.7600 -98,760.00 193.98交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 104.2000 104,200.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 103.5000 103,500.00 0.00交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 平仓 -1 103.8000 -103,800.00 -406.02交易所费用: -1.00
p36	微白银2603
p36	(SIL2603)US COMEX 开仓 1 103.6000 103,600.00 0.00交易所费用: -1.00
